Result Log
Run 1
50	5	42
125	13	48
200	14	80
275	14	55
350	12	43
425	11	42
500	10	44
575	6	38
650	7	54
725	5	48
800	2	67
875	4	51
950	3	39
1025	4	68
1100	3	48
1175	2	46
1250	0	30
1325	4	62
1400	7	67
1475	6	46
1550	3	49
1625	3	28
1700	3	44
1775	3	40
1850	5	43
1925	7	43
2000	8	49

Run 2
50	0	27
125	10	53
200	14	63
275	21	119
350	16	61
425	16	58
500	18	57
575	13	53
650	17	78
725	12	53
800	11	67
875	12	59
950	10	86
1025	9	54
1100	6	59
1175	6	46
1250	10	52
1325	6	47
1400	10	72
1475	6	50
1550	5	45
1625	11	80
1700	10	62
1775	10	68
1850	8	79
1925	10	47
2000	8	62

Run 3
50	2	49
125	13	51
200	11	42
275	13	60
350	8	48
425	8	48
500	8	50
575	6	44
650	6	47
725	6	34
800	6	51
875	9	61
950	9	57
1025	10	52
1100	10	73
1175	5	49
1250	7	60
1325	7	51
1400	3	34
1475	7	52
1550	6	59
1625	6	54
1700	4	34
1775	8	59
1850	8	49
1925	6	54
2000	9	43

Run 4
50	5	30
125	12	65
200	14	61
275	16	75
350	13	52
425	14	56
500	9	35
575	10	59
650	8	51
725	6	63
800	7	70
875	6	72
950	5	47
1025	8	47
1100	6	62
1175	6	62
1250	6	77
1325	6	47
1400	5	35
1475	4	48
1550	7	46
1625	4	37
1700	9	59
1775	8	64
1850	9	59
1925	5	44
2000	9	52

Run 5
50	4	37
125	5	64
200	6	47
275	12	55
350	12	46
425	14	60
500	12	60
575	15	84
650	10	47
725	6	59
800	7	48
875	8	64
950	9	58
1025	4	68
1100	7	48
1175	2	52
1250	5	74
1325	2	32
1400	4	44
1475	5	65
1550	8	46
1625	6	43
1700	7	61
1775	10	75
1850	8	55
1925	7	47
2000	6	56

Run 6
50	6	52
125	13	52
200	17	47
275	16	59
350	14	42
425	15	56
500	12	42
575	8	52
650	10	53
725	5	40
800	7	71
875	9	64
950	5	75
1025	5	41
1100	5	63
1175	3	49
1250	5	46
1325	5	47
1400	7	49
1475	6	49
1550	7	68
1625	5	54
1700	9	86
1775	6	59
1850	8	50
1925	5	70
2000	7	57

Run 7
50	4	41
125	12	55
200	9	53
275	16	63
350	10	57
425	11	49
500	11	55
575	9	73
650	9	52
725	6	42
800	5	47
875	2	39
950	2	55
1025	3	49
1100	4	47
1175	4	33
1250	3	56
1325	5	43
1400	4	37
1475	4	32
1550	6	44
1625	8	66
1700	6	59
1775	5	59
1850	6	55
1925	7	52
2000	4	57

Run 8
50	4	35
125	12	43
200	19	77
275	18	63
350	12	55
425	11	44
500	8	42
575	3	60
650	5	34
725	4	57
800	6	71
875	8	64
950	4	42
1025	4	43
1100	4	77
1175	3	53
1250	7	49
1325	7	65
1400	8	49
1475	6	35
1550	10	68
1625	7	55
1700	6	47
1775	5	52
1850	7	87
1925	8	64
