Result Log
1	154
2	167
5	186
9	202
11	202
12	202
15	202
17	202
18	202
19	291
55	309
61	320
76	334
127	423
130	446
143	458
218	481
293	483
351	491
356	506
428	506
435	506
506	506
516	506
525	506
592	506
651	506
658	506
726	506
729	506
739	506
740	506
806	506
822	506
824	506
894	506
951	506
955	506
960	506
963	506
966	506
967	506
1028	506
1029	506
1042	506
1104	506
1110	506
1112	506
1119	506
1120	506
1121	506
1123	506
1125	506
1176	506
1182	506
1186	506
1199	506
1200	506
1256	506
1266	506
1328	506
1342	506
1406	506
1407	506
1479	506
1490	506
1499	506
1569	506
1627	506
1638	506
1644	506
1647	506
1648	506
1701	506
1707	506
1716	506
1785	506
1787	506
1788	506
1800	506
1866	506
1870	506
1873	506
1926	506
1933	506
1946	506
2001	506
2002	506
2010	506
2017	506
2023	506
2025	506

